"category","event_id","name","parameter","address","type","source_scope"
"burner_flame_fan","98","Betriebsstunden Brenner Stufe 1","","BetriebsstundenBrenner1~0x0886","1","global Vitosoft event export"
"burner_flame_fan","104","Brenner-Betriebsstunden ","","BetriebsstundenBrennerBedienungGWG~0x08A7","1","global Vitosoft event export"
"burner_flame_fan","106","Betriebsstunden Brenner zurücksetzen","","BetriebsstundenBrennerResetGWG~0x08A7","2","global Vitosoft event export"
"burner_flame_fan","111","Brennerstarts","","BrennerstartsGWG~0x088A","3","global Vitosoft event export"
"burner_flame_fan","112","Anzahl Brennerstarts zurücksetzen","","BrennerstartsGWGReset~0x088A","2","global Vitosoft event export"
"pump_logic","245","Interne Pumpe","","DigitalAusgang_InternePumpe~0x7660","1","global Vitosoft event export"
"coding_plug","418","GWG61: Ausschaltdifferenz","","GWG_Codierstecker_AusDiff~0x1060","1","global Vitosoft event export"
"coding_plug|burner_flame_fan","419","GWG64: Ausschaltdifferenz Brenner bei Volllast","","GWG_Codierstecker_AusMax~0x1060","1","global Vitosoft event export"
"coding_plug","420","GWG51: Bauart Warmwasser","","GWG_Codierstecker_BauartWW~0x1050","1","global Vitosoft event export"
"coding_plug","421","GWG58: Bereichsgrenze max. Kesselsolltemperatur","","GWG_Codierstecker_BereichKTSollMax~0x1050","1","global Vitosoft event export"
"coding_plug","422","GWG59: Bereichsgrenze min. Kesselsolltemperatur","","GWG_Codierstecker_BereichKTSollMin~0x1050","1","global Vitosoft event export"
"coding_plug","423","GWG5A: Bereichsgrenze max. WW-Solltemperatur","","GWG_Codierstecker_BereichWWSollMax~0x1050","1","global Vitosoft event export"
"coding_plug","424","GWG5B: Bereichsgrenze min. WW-Solltemperatur","","GWG_Codierstecker_BereichWWSollMin~0x1050","1","global Vitosoft event export"
"coding_plug|burner_flame_fan","425","GWG53: Brennertyp","","GWG_Codierstecker_Brennertyp~0x1050","1","global Vitosoft event export"
"coding_plug|burner_flame_fan","426","GWG71: Brennerminimalleistung","","GWG_Codierstecker_BRMin~0x1070","1","global Vitosoft event export"
