"section","group","event_id","name","token","address","datatype","hidden_condition","source_device"
"Überblick (7504)","Kessel","5373","Aussentemperatur","TiefpassTemperaturwert_ATS","0x5525","SInt","","VDensHO1"
"Überblick (7504)","Kessel","5374","Kesseltemperatur","TiefpassTemperaturwert_KTS","0x0810","Int","","VDensHO1"
"Überblick (7504)","Kessel","787","Interne Pumpe Drehzahl","InternePumpeDrehzahl","0x7660","Int","30_KennIntUmwPumpe=""0 stufig""","VDensHO1"
"Überblick (7504)","Kessel","2954","Kesselsolltemperatur","Kesselsoll_eff","0x555A","Byte","","VDensHO1"
"Überblick (7504)","Kessel","600","Brenner","GWG_Flamme","0x55D3","Byte","","VDensHO1"
"Überblick (7504)","Kessel","245","Interne Pumpe","DigitalAusgang_InternePumpe","0x7660","Byte","","VDensHO1"
"Überblick (7504)","Kessel","111","Brennerstarts","BrennerstartsGWG","0x088A","Int4","","VDensHO1"
"Überblick (7504)","Kessel","104","Brenner-Betriebsstunden","BetriebsstundenBrennerBedienungGWG","0x08A7","Int","","VDensHO1"
"Überblick (7504)","Kessel","8161","Hydraulische Weiche","Temperatur_Hydraulische_Weiche","0x080C","Int","""(52) Sensor Hydraulische Weiche""=""0 nicht vorhanden""","VDensHO1"
"Überblick (7504)","Heizkreis A1","708","Aktuelle Betriebsart A1M1","HK_AktuelleBetriebsartA1M1","0x2500","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis A1","270","Externe Betriebsarten-umschaltung A1M1","ExtBetriebsartenumschaltung_A1M1","0x2549","Byte","ZuordExtBetrUmsch=""0 inaktiv"" OR ZuordExtBetrUmsch=""2 M2"" OR ZuordExtBetrUmsch=""4 M3"" OR ZuordExtBetrUmsch=""6 M2 + M3""","VDensHO1"
"Überblick (7504)","Heizkreis A1","5375","Vorlauftemperatur A1M1","TiefpassTemperaturwert_KTS_A1","0x0810","Int","","VDensHO1"
"Überblick (7504)","Heizkreis A1","778","Heizkreispumpe A1M1 Drehzahl","HKP_A1Drehzahl","0x7663","Int","E5_KennPumpHzkA1=""0 stufig""","VDensHO1"
"Überblick (7504)","Heizkreis A1","2954","Kesselsolltemperatur","Kesselsoll_eff","0x555A","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis A1","39","Heizkreispumpe A1","Ausgang_HKP_A1","0x7663","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis A1","76","Partybetrieb A1M1","BedienPartybetriebA1M1","0x2303","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis A1","88","Sparbetrieb A1M1","BedienSparbetriebA1M1","0x2302","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis A1","5367","Raumtemperatur A1M1","TiefpassTemperatur_RTS_A1M1","0x0896","Int","FBA1M1=""nicht vorhanden"" OR A0_KennFBA1M1=""0 ohne"" OR A0_KennFBA1M1=""nicht vorhanden"" OR RaumTempSensHK1=""Nicht vorhanden""","VDensHO1"
"Überblick (7504)","Heizkreis A1","717","Frostgefahr des Heizkreises A1M1","HK_Frostgefahr_aktivA1M1","0x2500","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis A1","714","Ferienprogramm A1M1","HK_FerienbetriebA1M1","0x2535","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis A1","306","Ferien Abreisetag A1M1","FerienBeginnA1M1","0x2309","Array","","VDensHO1"
"Überblick (7504)","Heizkreis A1","309","Ferien Rückreisetag A1M1","FerienEndeA1M1","0x2311","Array","","VDensHO1"
"Überblick (7504)","Heizkreis A1","2870","Neigung Heizkennlinie A1","KD3_KonfiNeigungA1D","0x27D3","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis A1","2876","Niveau Heizkennlinie A1","KD4_KonfiNiveauA1D","0x27D4","SByte","","VDensHO1"
"Überblick (7504)","Heizkreis M2","709","Aktuelle Betriebsart M2","HK_AktuelleBetriebsartM2","0x3500","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis M2","271","Externe Betriebsarten-umschaltung M2","ExtBetriebsartenumschaltung_M2","0x3549","Byte","ZuordExtBetrUmsch=""0 inaktiv"" OR ZuordExtBetrUmsch=""1 A1/M1"" OR ZuordExtBetrUmsch=""4 M3"" OR ZuordExtBetrUmsch=""5 A1/M1 + M3""","VDensHO1"
"Überblick (7504)","Heizkreis M2","6053","Vorlauftemperatur M2","VorlauftemperaturM2","0x3900","Int","","VDensHO1"
