"section","group","event_id","name","token","address","datatype","hidden_condition","source_device"
"Diagnose System (9525)","KM-Bus-Teiln.","802","Mischererweiterung","K00_Mischererweiterung_KM","0x7700","Byte","","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","5293","Mischererweiterung Software-Index","SWIndex_Mischer","0x0A44","Array","""Mischererweiterung""=""nicht vorhanden"" OR ""Mischererweiterung""=""nicht vorhanden"" OR ""Mischererweiterung""=""nicht vorhanden""","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","941","Solarregelung","K54_Solar_Info","0x7754","Byte","","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","5303","Solarregelung Software-Index","SWIndex_Solar","0x0A40","Array","""Solarregelung""=""nicht vorhanden"" OR 54_SR=""0 ohne""","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","1055","Fernbedienung Heizkreis A1M1","KA0_KennungFernbedienungA1M1","0x27A0","Byte","","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","5290","Fernbedienung A1 Software-Index","SWIndex_FB1","0x0A5C","Array","FBA1M1=""nicht vorhanden""","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","1053","Fernbedienung Heizkreis M2","KA0_FernbedienungM2","0x37A0","Byte","","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","5291","Fernbedienung M2 Software-Index","SWIndex_FB2","0x0A60","Array","FBM2=""nicht vorhanden""","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","885","Interne Umwälzpumpe","K30_KennungIntPumpeKM","0x5730","Byte","","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","5292","Interne Pumpe Software-Index","SWIndex_IntPumpe","0x0A54","Array","""Interne Umwälzpumpe""=""nicht vorhanden""","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","2894","KM-BUS-Heizkreispumpe A1","KE5_KonfiKennung_D_PumpeA1M1_KM","0x27E5","Byte","","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","5298","Pumpe A1 Software-Index","SWIndex_Pumpe1","0x0A4C","Array","""KM-BUS-Heizkreispumpe A1""=""nicht vorhanden""","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","2897","KM-BUS-Heizkreispumpe M2","KE5_KonfiKennung_D_PumpeM2KM","0x37E5","Byte","","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","5299","Pumpe M2 Software-Index","SWIndex_Pumpe2","0x0A50","Array","""KM-BUS-Heizkreispumpe M2""=""nicht vorhanden""","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","1036","Vitocom 100","K95_KennungVitocom100","0x7795","Byte","","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","5305","Vitocom 100 Software-Index","SWIndex_Vitocom","0x0A58","Array","""Vitocom 100""=""nicht vorhanden""","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","882","Externe Erweiterung","K2E_KonfiKennungAnschlussD","0x572E","Byte","","VDensHO1"
"Diagnose System (9525)","KM-Bus-Teiln.","5289","Externe Anschlußerweiterung Software-Index","SWIndex_extAE","0x0A48","Array","""Externe Erweiterung""=""nicht vorhanden""","VDensHO1"
